[GENERAL]
DATE=June 04, 2015 at 12:41:59
CYME_VERSION=7.10
CYMDIST_REVISION=05

[SI]

[CUSTOMER CLASS]
FORMAT_CUSTOMERCLASS=ID,DCCustomerType,Description,Color,ConstantPower,ConstantCurrent,ConstantImpedance,UtilizationFactor,PowerFactor,MeteredLoads,NonMeteredLoads,LoadFactor,FrequencySensitivityP,FrequencySensitivityQ,EnableHarmonic,IsExponentialModel,ConstantImpedanceZP,ConstantImpedanceZQ,ConstantCurrentIP,ConstantCurrentIQ,ConstantPowerPP,ConstantPowerPQ,ExponentialModelP,ExponentialModelQ,LoadFlowVoltagePercentOfNominal,LossesPerCustomer,ConnectedCenterTap1N,ConnectedCenterTap2N,AdjustmentSettings,PowerCurveModel,PowerCurveModelId
Commercial,0,,0,100.000000,0.000000,0.000000,100.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,80.000000,0.000000,50.000000,50.000000,,,
Industrial,0,,0,100.000000,0.000000,0.000000,100.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,80.000000,0.000000,50.000000,50.000000,,,
Residential,0,,0,100.000000,0.000000,0.000000,100.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,80.000000,0.000000,50.000000,50.000000,,,


[LOADS]
FORMAT_LOADS=SectionID,DeviceNumber,DeviceStage,LoadType,Connection,Location
263391403,40037749,,SPOT,0,2
259198882,40202498,,SPOT,0,2
258426104,40042365,,SPOT,0,2
263997747,41217886,,SPOT,0,2
258443889,40046622,,SPOT,0,2
263391484,40833616,,SPOT,0,2
258443809,40046606,,SPOT,0,2
260664749,40834256,,SPOT,0,2
258406206,40037801,,SPOT,0,2
258443904,40046628,,SPOT,0,2
258443984,40046644,,SPOT,0,2
258405685,40037697,,SPOT,0,2
260664744,40834252,,SPOT,0,2
263663378,41009982,,SPOT,0,2
258425048,40042089,,SPOT,0,2
258426109,40042370,,SPOT,0,2
286927269,49342790,,SPOT,0,2
258425321,40042153,,SPOT,0,2
258406141,40037779,,SPOT,0,2
258406201,40037797,,SPOT,0,2
263395465,40042363,,SPOT,0,2
258425145,40042107,,SPOT,0,2
258425282,40042145,,SPOT,0,2
258443909,40046630,,SPOT,0,2
258425140,40042105,,SPOT,0,2
623897569,40042249,,SPOT,0,2
258406021,40037747,,SPOT,0,2
258406306,40037815,,SPOT,0,2
258405782,40042245,,SPOT,0,2
258406381,40037829,,SPOT,0,2
260664729,40834244,,SPOT,0,2
258406126,40037789,,SPOT,0,2
258425386,40042163,,SPOT,0,2
260664724,40834240,,SPOT,0,2
261061096,41089476,,SPOT,0,2
258425028,40042083,,SPOT,0,2
258425381,40042181,,SPOT,0,2
260664689,40834216,,SPOT,0,2
258406086,40037765,,SPOT,0,2
258425125,40042103,,SPOT,0,2
260664684,40834212,,SPOT,0,2
263960232,41197257,,SPOT,0,2
258425120,40042097,,SPOT,0,2
258425309,40042151,,SPOT,0,2
385859012,40300246,,SPOT,0,2
258406081,40037763,,SPOT,0,2
263395267,40833600,,SPOT,0,2
385859011,86378138,,SPOT,0,2
384399851,40042133,,SPOT,0,2
258425085,40042117,,SPOT,0,2
263391385,40832904,,SPOT,0,2
258425003,40042075,,SPOT,0,2
263395429,40833632,,SPOT,0,2
616790327,366527806,,SPOT,0,2
260664704,40834228,,SPOT,0,2
259181477,40179935,,SPOT,0,2
263395420,40042310,,SPOT,0,2
263395249,40042191,,SPOT,0,2
263395366,40042251,,SPOT,0,2
258406101,40037771,,SPOT,0,2
263794328,40042211,,SPOT,0,2
258425105,40042099,,SPOT,0,2
263395240,40042139,,SPOT,0,2
384502987,40046569,,SPOT,0,2
258425180,40042121,,SPOT,0,2
384399836,40037849,,SPOT,0,2
263395348,40833628,,SPOT,0,2
263395402,40042296,,SPOT,0,2
290683470,40037673,,SPOT,0,2
261213171,41179093,,SPOT,0,2
263395222,40833576,,SPOT,0,2
263733258,40042221,,SPOT,0,2
260662949,40832956,,SPOT,0,2
258425865,40042312,,SPOT,0,2
615922863,40037887,,SPOT,0,2
263395321,40042207,,SPOT,0,2
259197613,40200871,,SPOT,0,2
263395204,40833568,,SPOT,0,2
263395285,40833604,,SPOT,0,2
258425965,40042359,,SPOT,0,2
263399268,40046543,,SPOT,0,2
258425960,40042332,,SPOT,0,2
260662929,40832940,,SPOT,0,2
259259895,40221589,,SPOT,0,2
258425845,40042304,,SPOT,0,2
260662924,40832936,,SPOT,0,2
263733231,40037711,,SPOT,0,2
258425840,40042302,,SPOT,0,2
259240666,40217528,,SPOT,0,2
259259890,40037775,,SPOT,0,2
263395384,40042261,,SPOT,0,2
264148876,41271649,,SPOT,0,2
258443677,40046563,,SPOT,0,2
263733339,40046668,,SPOT,0,2
258425945,40046580,,SPOT,0,2
258424927,40042059,,SPOT,0,2
263733330,40046670,,SPOT,0,2
258425940,40042328,,SPOT,0,2
260662909,40832924,,SPOT,0,2
258425825,40042306,,SPOT,0,2
260662904,40832920,,SPOT,0,2
263399241,40834248,,SPOT,0,2
260663808,40833588,,SPOT,0,2
263733294,40042063,,SPOT,0,2
258405866,40037715,,SPOT,0,2
258443657,40046565,,SPOT,0,2
260663803,40833584,,SPOT,0,2
260011481,40389069,,SPOT,0,2
264148858,41271961,,SPOT,0,2
258405861,40042237,,SPOT,0,2
258443477,40046513,,SPOT,0,2
263399340,40046618,,SPOT,0,2
261434095,41271945,,SPOT,0,2
263399169,40046487,,SPOT,0,2
258424984,40042081,,SPOT,0,2
258425920,40042322,,SPOT,0,2
258405966,40037739,,SPOT,0,2
263399223,40834264,,SPOT,0,2
258443757,40046590,,SPOT,0,2
258443752,40046588,,SPOT,0,2
258425800,40042298,,SPOT,0,2
261434115,41271965,,SPOT,0,2
620695955,359000086,,SPOT,0,2
258443572,40046541,,SPOT,0,2
259596197,40046705,,SPOT,0,2
258405841,40042241,,SPOT,0,2
258425985,40042343,,SPOT,0,2
615922902,40037885,,SPOT,0,2
258443452,40046507,,SPOT,0,2
615922901,357149172,,SPOT,0,2
258425980,40042341,,SPOT,0,2
263399286,40834260,,SPOT,0,2
263399205,40046511,,SPOT,0,2
258405941,40037741,,SPOT,0,2
258443697,40046557,,SPOT,0,2
258443557,40046537,,SPOT,0,2
258443617,40046547,,SPOT,0,2
258443552,40046535,,SPOT,0,2
258405821,40037713,,SPOT,0,2
258443437,40046505,,SPOT,0,2
259266062,40042314,,SPOT,0,2
278291394,45246092,,SPOT,0,2
258443375,40046491,,SPOT,0,2
259585594,40297963,,SPOT,0,2
258405926,40037731,,SPOT,0,2
258443794,40046602,,SPOT,0,2
258443712,40046561,,SPOT,0,2
258405921,40042235,,SPOT,0,2
258405886,40037721,,SPOT,0,2
258443532,40046529,,SPOT,0,2
258443799,40046666,,SPOT,0,2
264487412,40046539,,SPOT,0,2
258405881,40037719,,SPOT,0,2
258443497,40046521,,SPOT,0,2
258443417,40046503,,SPOT,0,2
384399748,40037855,,SPOT,0,2
258443492,40046517,,SPOT,0,2
438022626,84669799,,SPOT,0,2
258405906,40037725,,SPOT,0,2
438022627,40037831,,SPOT,0,2
258405986,40042233,,SPOT,0,2
259547601,40288969,,SPOT,0,2
263399187,40834224,,SPOT,0,2
384399747,84883887,,SPOT,0,2
258443517,40046525,,SPOT,0,2
274934389,40037881,,SPOT,0,2
258443512,40046523,,SPOT,0,2
259202609,40207406,,SPOT,0,2
259288077,40227697,,SPOT,0,2
259362845,40245685,,SPOT,0,2
258443395,40046497,,SPOT,0,2
699613243,40046727,,SPOT,0,2
699613069,40037691,,SPOT,0,2
264487013,40037827,,SPOT,0,2
491389326,40046594,,SPOT,0,2
491389325,160986857,,SPOT,0,2
258406670,40037899,,SPOT,0,2
258425673,40042265,,SPOT,0,2
258425775,40042294,,SPOT,0,2
258406655,40037893,,SPOT,0,2
258425770,40042292,,SPOT,0,2
259589134,40298704,,SPOT,0,2
426195279,40037833,,SPOT,0,2
263855874,40384054,,SPOT,0,2
258406473,40042131,,SPOT,0,2
258426077,40042372,,SPOT,0,2
258444237,40046721,,SPOT,0,2
384331491,85339259,,SPOT,0,2
258425658,40042263,,SPOT,0,2
259998110,40386212,,SPOT,0,2
258406478,40037847,,SPOT,0,2
