
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus                    Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

258406078                  7.18     0.9973          0          0         0         0
259259891                  7.18     0.9973          0          0         0         0
258425922                 7.065     0.9813    0.09416      1.333    0.1251     1.771
258424993                  6.98     0.9695          0          0         0         0
258443634                 6.933      0.963     0.1122      1.618    0.1006     1.451
258443643                 6.933      0.963     0.1121      1.617    0.1004     1.448
258443759                 6.907     0.9593          0          0         0         0
258405973                 7.075     0.9828          0          0         0         0
258405978                 7.075     0.9828          0          0         0         0
259474274                 6.935     0.9632          0          0         0         0
259474279                 6.934     0.9632          0          0         0         0
258425897                  7.07      0.982    0.09338      1.321     0.125     1.768
258425812                 7.093     0.9852    0.08921      1.258    0.1218     1.717
258425817                 7.084     0.9839     0.0912      1.287     0.125     1.765
259474269                 6.935     0.9632          0          0         0         0
258443764                 6.906     0.9592          0          0         0         0
258443569                 6.936     0.9635     0.1141      1.644    0.1048     1.511
258425887                 7.075     0.9827    0.09252      1.308    0.1249     1.765
258405968                 7.075     0.9828          0          0         0         0
258425000                 6.907     0.9593          0          0         0         0
258405848                 7.225      1.003    0.05013     0.6939   0.08851     1.225
258405858                 7.217      1.002    0.05048     0.6995   0.09023      1.25
258443644                 6.933      0.963     0.1121      1.616    0.1004     1.448
258126280                 6.933      0.963     0.1121      1.616    0.1004     1.448
258425045                 6.999     0.9721    0.05553     0.7935    0.1419     2.027
263395192                 6.908     0.9595          0          0         0         0
259149287                  6.91     0.9598          0          0         0         0
259281208                 6.909     0.9597          0          0         0         0
258425994                 7.019      0.975     0.1002      1.428    0.1259     1.794
258425999                 7.019     0.9749     0.1002      1.427    0.1258     1.792
258425055                 6.908     0.9595          0          0         0         0
258443469                 6.961     0.9668     0.1094      1.572    0.1118     1.606
258425917                 7.068     0.9817     0.0937      1.326     0.125     1.769
258425987                 7.019      0.975     0.1002      1.428    0.1261     1.796
258443459                 6.963     0.9672     0.1087      1.561    0.1124     1.615
258425907                 6.939     0.9638          0          0         0         0
258425912                 6.939     0.9638          0          0         0         0
263399229                 6.893     0.9574          0          0         0         0
258405953                 7.076     0.9828          0          0         0         0
258405958                 7.076     0.9828          0          0         0         0
258406520                 7.031     0.9766     0.0558     0.7936    0.1441     2.049
258406524                  7.03     0.9764     0.0559     0.7952    0.1443     2.053
258443744                  6.91     0.9597          0          0         0         0
258443749                 6.909     0.9597          0          0         0         0
491242316                 7.284      1.012          0          0         0         0
491242313                 7.283      1.012          0          0         0         0
491242302                 7.283      1.012          0          0         0         0
491242318                 7.284      1.012          0          0         0         0
491242317                 7.284      1.012          0          0         0         0
258443739                  6.91     0.9598          0          0         0         0
258444159                 7.258      1.008    0.04606     0.6345   0.07427     1.023
258444163                 7.256      1.008    0.04591     0.6328   0.07409     1.021
491242319                 7.284      1.012          0          0         0         0
258405948                 7.076     0.9828          0          0         0         0
258405828                 7.231      1.004    0.04986     0.6896   0.08719     1.206
258405838                 7.227      1.004    0.05001      0.692   0.08792     1.216
258443584                 6.935     0.9632     0.1132      1.632    0.1027     1.481
258443629                 6.881     0.9558          0          0         0         0
258443559                 6.939     0.9638     0.1142      1.647     0.106     1.528
258443564                 6.937     0.9636     0.1141      1.645    0.1053     1.518
258443614                 6.834     0.9492          0          0         0         0
258443624                 6.834     0.9492          0          0         0         0
491242397                 7.284      1.012          0          0         0         0
258405833                  7.16     0.9945          0          0         0         0
258444139                 7.264      1.009    0.04661     0.6417   0.07473     1.029
263954351                 7.204      1.001          0          0         0         0
258443444                 6.968     0.9678     0.1076      1.544    0.1136      1.63
258443449                 6.946     0.9648          0          0         0         0
258443811                 6.928     0.9622          0          0         0         0
263399301                 6.928     0.9622          0          0         0         0
258443439                 6.971     0.9682     0.1068      1.532    0.1144     1.641
258443871                 6.916     0.9606          0          0         0         0
263399337                 6.916     0.9606          0          0         0         0
491242301                 7.265      1.009     0.0467     0.6428   0.07485      1.03
258405933                 7.156     0.9939    0.05282     0.7382    0.1038     1.451
258443729                 6.881     0.9557          0          0         0         0
258425927                 6.912       0.96          0          0         0         0
263399292                 6.912       0.96          0          0         0         0
258444132                 7.266      1.009    0.04677     0.6438   0.07494     1.031
263399211                 7.104     0.9868          0          0         0         0
258443504                 7.104     0.9868          0          0         0         0
258405928                 7.163      0.995    0.05253     0.7333    0.1021     1.426
258405806                 7.248      1.007    0.04904     0.6766   0.08325     1.149
258443674                 7.078     0.9831          0          0         0         0
258443689                 7.078     0.9831          0          0         0         0
258405893                  7.19     0.9987    0.05152     0.7166   0.09605     1.336
258405898                 7.186     0.9981    0.05172     0.7197   0.09717     1.352
258443544                 6.941     0.9641     0.1143      1.646    0.1069      1.54
258443549                  6.94     0.9639     0.1143      1.647    0.1064     1.533
258443604                 6.834     0.9492          0          0         0         0
258443609                 6.834     0.9492          0          0         0         0
264487409                 6.937     0.9636     0.1141      1.645    0.1053     1.518
258443534                 6.942     0.9642     0.1143      1.646    0.1074     1.547
258443599                 6.835     0.9493          0          0         0         0
258443684                 7.077      0.983          0          0         0         0
258405888                 7.197     0.9996    0.05128     0.7125    0.0946     1.314
258443866                 6.917     0.9607          0          0         0         0
258443870                 6.916     0.9607          0          0         0         0
258425583                 7.263      1.009    0.05071     0.6982   0.07823     1.077
264487228                 7.263      1.009    0.05073     0.6984   0.07825     1.077
258443352                 6.861     0.9529          0          0         0         0
258443367                  6.86     0.9528          0          0         0         0
258443419                 6.977     0.9691     0.1056      1.514    0.1166     1.671
258443826                 6.925     0.9618          0          0         0         0
263399319                 6.925     0.9618          0          0         0         0
264487219                 6.989     0.9707          0          0         0         0
258425328                 6.987     0.9705          0          0         0         0
258443362                 6.861     0.9529          0          0         0         0
258406677                 6.908     0.9595          0          0         0         0
259987105                 6.908     0.9595          0          0         0         0
258405913                 7.181     0.9975    0.05188     0.7225   0.09817     1.367
258405918                 7.176     0.9967    0.05209      0.726   0.09941     1.385
258405997                 7.131     0.9905    0.05362     0.7519    0.1087     1.525
258405998                 7.127     0.9899    0.05376     0.7543    0.1095     1.537
258443709                 7.077     0.9829          0          0         0         0
258443786                 6.938     0.9637          0          0         0         0
258443694                 7.078     0.9831          0          0         0         0
258443704                 7.078     0.9831          0          0         0         0
258406383                 7.082     0.9837    0.05492     0.7754    0.1275     1.801
426195252                 6.997     0.9719          0          0         0         0
258405983                 7.141     0.9919    0.05332     0.7467    0.1068     1.496
258405993                 7.136     0.9911    0.05348     0.7495    0.1079     1.512
258425166                 6.996     0.9717    0.05516     0.7884    0.1388     1.985
263834523                 7.141     0.9919          0          0         0         0
259335543                 7.141     0.9918          0          0         0         0
258406028                 7.122     0.9892    0.05414     0.7603    0.1081     1.518
259491970                 7.121     0.9891    0.05424     0.7617    0.1076     1.512
258443529                 6.943     0.9644     0.1143      1.647    0.1079     1.554
258425402                  6.97     0.9682          0          0         0         0
259400478                  6.97     0.9681          0          0         0         0
258443519                 6.948      0.965     0.1131      1.628    0.1089     1.567
258443791                 6.937     0.9635          0          0         0         0
258443479                 6.958     0.9665     0.1101      1.582    0.1112     1.598
258443489                 6.956     0.9662     0.1107      1.591    0.1108     1.593
258426156                 6.863     0.9532          0          0         0         0
258443347                 6.861      0.953          0          0         0         0
258443402                 6.985     0.9702     0.1047      1.499      0.12     1.717
258443407                 6.983     0.9699      0.105      1.503    0.1191     1.706
258443397                 6.987     0.9704     0.1045      1.496    0.1208     1.729
258405744                 7.315      1.016    0.04332     0.5922   0.06172    0.8437
699613275                 7.297      1.014    0.04534     0.6213   0.06852     0.939
255192292                 6.996     0.9717    0.05516     0.7884    0.1388     1.985
264487210                 6.996     0.9717    0.05516     0.7884    0.1388     1.985
258405662                 7.386      1.026    0.03556     0.4815   0.03546    0.4802
699613181                 7.406      1.029          0          0         0         0
258443509                 7.104     0.9868          0          0         0         0
258405791                 7.279      1.011    0.04749     0.6525   0.07576     1.041
264377257                 7.279      1.011     0.0475     0.6526   0.07579     1.041
258443579                 6.936     0.9633     0.1137       1.64    0.1041     1.502
258425603                 7.257      1.008    0.05194     0.7157   0.07935     1.093
264377421                 7.257      1.008    0.05196      0.716   0.07936     1.094
258425700                 7.203      1.001    0.06391     0.8872   0.09204     1.278
258425704                   7.2          1    0.06472     0.8989    0.0925     1.285
258406368                 7.096     0.9857    0.05467     0.7704    0.1208     1.702
264487010                 7.096     0.9857    0.05468     0.7705    0.1208     1.702
259259896                  7.18     0.9972          0          0         0         0
699613233                  7.37      1.024          0          0         0         0
699613227                  7.37      1.024          0          0         0         0
258443387                  6.99     0.9708     0.1041       1.49    0.1221     1.746
264377511                 7.273       1.01    0.04786      0.658   0.07583     1.043
258444083                 7.273       1.01    0.04779     0.6572   0.07581     1.042
258426146                 6.996     0.9718     0.1032      1.475    0.1246     1.781
258443382                 7.127     0.9899          0          0         0         0
258405702                 7.349      1.021    0.03958     0.5386   0.04915    0.6688
258405687                 7.376      1.025    0.03659      0.496   0.03898    0.5284
258405691                 7.372      1.024    0.03712     0.5036   0.04081    0.5537
258425562                 7.048      0.979          0          0         0         0
699613135                 7.388      1.026          0          0         0         0
699613129                 7.388      1.026          0          0         0         0
258405692                 7.368      1.023    0.03755     0.5096   0.04227    0.5738
258406652                 6.984       0.97          0          0         0         0
258406667                 6.984       0.97          0          0         0         0
258406657                 6.909     0.9597          0          0         0         0
258406662                 6.909     0.9597          0          0         0         0
258425660                 7.265      1.009          0          0         0         0
258425665                 7.264      1.009          0          0         0         0
258444244                 7.258      1.008          0          0         0         0
258444249                 7.258      1.008          0          0         0         0
258425670                 7.264      1.009          0          0         0         0
258444239                 7.258      1.008          0          0         0         0
260007367                 7.037     0.9774    0.09851        1.4    0.1262     1.793
263855871                 7.056       0.98          0          0         0         0
258425767                 7.138     0.9914    0.08207       1.15    0.1047     1.467
615922786                 6.985     0.9702          0          0         0         0
258406647                 6.984     0.9701          0          0         0         0
259589130                 6.937     0.9635     0.1142      1.646    0.1053     1.518
259589131                 6.937     0.9635     0.1142      1.646    0.1053     1.518
258406455                 7.056       0.98    0.05385     0.7632     0.138     1.956
258425578                 7.275       1.01    0.04806     0.6607   0.07597     1.044
258444071                 7.274       1.01    0.04798     0.6597   0.07589     1.043
258425967                 7.021     0.9752     0.1002      1.428    0.1264     1.801
258426069                 7.017     0.9747     0.1006      1.434    0.1265     1.803
258444164                 7.253      1.007    0.04574     0.6306    0.0738     1.017
258444169                 7.251      1.007    0.04564     0.6295   0.07354     1.014
