
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus                Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

1140285               13.64      1.033          0          0         0         0
1140272               13.64      1.033          0          0         0         0
1104677               13.61      1.031     0.2257      1.658     0.252     1.852
1104678               13.61      1.031     0.2258      1.659    0.2522     1.853
25879307              13.63      1.032     0.2097      1.539    0.2221      1.63
25885367              13.63      1.032     0.2101      1.542    0.2231     1.638
1141306               13.62      1.031     0.2108      1.548     0.212     1.557
103119511             13.62      1.031     0.2112      1.551    0.2129     1.564
1104964               13.52      1.024          0          0         0         0
1104965               13.52      1.024          0          0         0         0
103160088             13.61      1.031     0.2204      1.619     0.235     1.726
26027072              13.61      1.031     0.2207      1.621    0.2357     1.731
1106195               13.61      1.031          0          0         0         0
1106193               13.61      1.031          0          0         0         0
1140295               13.61      1.031     0.2174      1.597    0.2292     1.684
1140289               13.61      1.031     0.2175      1.598    0.2298     1.688
1104953               13.52      1.024          0          0         0         0
1104951               4.362     0.3303      4.362        100     4.798       110
1140790               13.62      1.032     0.2089      1.533    0.2195     1.611
25879303              13.62      1.032     0.2091      1.535    0.2202     1.616
1106175               13.61      1.031          0          0         0         0
1106172               13.61      1.031          0          0         0         0
1140710               13.61      1.031     0.2151       1.58    0.2226     1.635
1140685               13.61      1.031     0.2155      1.583    0.2234     1.641
1140123               13.61      1.031     0.2197      1.614    0.2335     1.715
103160087             13.61      1.031     0.2199      1.615    0.2339     1.718
103117935             13.62      1.031     0.2133      1.566    0.2177     1.599
103117936             13.61      1.031     0.2138       1.57    0.2187     1.606
