"Hour", "Element", "Normal Amps", "Emerg Amps", "% Normal", "% Emerg", "kVBase"
5310, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 117.3889, 86.08518, 19.9 
5311, "Transformer.05410_G2100GI2700", 1.381, 1.883, 108.5732, 79.62036, 19.9 
5311, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 125.5783, 92.09077, 19.9 
5312, "Transformer.05410_G2100GI2700", 1.381, 1.883, 116.9917, 85.79389, 19.9 
5312, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 140.7725, 103.2332, 19.9 
5313, "Transformer.05410_G2100GI2700", 1.381, 1.883, 130.7307, 95.86918, 19.9 
5313, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 157.4993, 115.4995, 19.9 
5314, "Transformer.05410_G2100GI2700", 1.381, 1.883, 149.3177, 109.4996, 19.9 
5314, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 179.6293, 131.7282, 19.9 
5315, "Transformer.05410_G2100EN2200", 2.761, 3.765, 101.3367, 74.31361, 19.9 
5315, "Transformer.05410_G2100GI2700", 1.381, 1.883, 167.2177, 122.6263, 19.9 
5315, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 197.2045, 144.6166, 19.9 
5315, "Transformer.05410_G2101BC7200", 7.217, 9.841, 100.1059, 73.41097, 7.62 
5315, "Transformer.05410_G2102CC0600", 1.381, 1.883, 101.621, 74.52205, 19.9 
5316, "Transformer.05410_G2100DL9800", 2.071, 2.824, 104.6535, 76.74589, 19.9 
5316, "Transformer.05410_G2100EN2200", 2.761, 3.765, 109.8584, 80.56285, 19.9 
5316, "Transformer.05410_G2100GI2700", 1.381, 1.883, 181.3368, 132.9803, 19.9 
5316, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 212.1973, 155.6113, 19.9 
5316, "Transformer.05410_G2101BC7200", 7.217, 9.841, 107.6744, 78.96121, 7.62 
5316, "Transformer.05410_G2102CC0600", 1.381, 1.883, 109.3181, 80.16659, 19.9 
5317, "Transformer.05410_G2100DL9800", 2.071, 2.824, 111.4486, 81.72901, 19.9 
5317, "Transformer.05410_G2100EN2200", 2.761, 3.765, 117.5535, 86.20587, 19.9 
5317, "Transformer.05410_G2100GI2700", 1.381, 1.883, 194.0996, 142.3397, 19.9 
5317, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 222.6062, 163.2445, 19.9 
5317, "Transformer.05410_G2101BC7200", 7.217, 9.841, 112.9248, 82.81151, 7.62 
