Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"1708764", 22.87, 2,    13635.2, -125.2,    1.0327, 0, 0, 0, 0, 0, 0, 0, 0
"1715526", 22.87, 2,    13623.4, -124.0,    1.0318, 0, 0, 0, 0, 0, 0, 0, 0
"1715662", 22.87, 2,    13623.4, -124.0,    1.0318, 0, 0, 0, 0, 0, 0, 0, 0
"1709184", 22.87, 1,    440.566, -125.2,  0.033366, 2,      13655, -125.2,    1.0342, 3,    440.566, -125.2,  0.033366
"1585797", 22.87, 2,    13620.2, -125.1,    1.0315, 0, 0, 0, 0, 0, 0, 0, 0
"1709668", 22.87, 3,    13710.1,  116.2,    1.0383, 0, 0, 0, 0, 0, 0, 0, 0
"1599112", 22.87, 1,    13675.8,   -2.0,    1.0357, 2,    13637.4, -122.3,    1.0328, 3,    13664.7,  118.0,    1.0349
"1599110", 22.87, 1,    13675.8,   -2.0,    1.0357, 2,    13637.4, -122.3,    1.0328, 3,    13664.7,  118.0,    1.0349
"1709172", 22.87, 2,    13649.4, -125.1,    1.0337, 0, 0, 0, 0, 0, 0, 0, 0
"1713338", 22.87, 1,    13700.5,   -3.8,    1.0376, 2,    13739.2, -124.0,    1.0405, 3,    13702.9,  116.4,    1.0378
"25116198", 22.87, 1,    13700.3,   -3.8,    1.0376, 2,      13739, -124.0,    1.0405, 3,    13702.7,  116.4,    1.0378
"1714676", 22.87, 1,    13677.7,   -3.4,    1.0359, 2,    13662.8, -123.7,    1.0347, 3,    13712.6,  116.6,    1.0385
"1714655", 22.87, 3,    13712.5,  116.6,    1.0385, 0, 0, 0, 0, 0, 0, 0, 0
"1587165", 22.87, 1,    13672.3,   -3.9,    1.0355, 2,    13742.2, -124.1,    1.0408, 3,    13691.5,  116.4,    1.0369
"1587162", 22.87, 1,    13671.8,   -3.9,    1.0354, 2,    13741.6, -124.1,    1.0407, 3,      13691,  116.4,    1.0369
"1709483", 22.87, 1,    440.621, -123.9,   0.03337, 2,    13656.7, -123.9,    1.0343, 3,    440.621, -123.9,   0.03337
"1709411", 22.87, 2,    13656.7, -123.9,    1.0343, 0, 0, 0, 0, 0, 0, 0, 0
"1713403", 22.87, 3,    13696.2,  116.5,    1.0373, 0, 0, 0, 0, 0, 0, 0, 0
"1713401", 22.87, 3,    13696.2,  116.5,    1.0373, 0, 0, 0, 0, 0, 0, 0, 0
"1729047", 22.87, 2,    13656.3, -123.6,    1.0343, 0, 0, 0, 0, 0, 0, 0, 0
"26401831", 22.87, 1,    440.629, -125.2,  0.033371, 2,    13656.9, -125.2,    1.0343, 3,    440.629, -125.2,  0.033371
"1586072", 22.87, 2,    13617.3, -125.1,    1.0313, 0, 0, 0, 0, 0, 0, 0, 0
"1587042", 22.87, 1,    13667.6,   -3.9,    1.0351, 2,    13737.1, -124.1,    1.0404, 3,    13687.5,  116.4,    1.0366
