[GENERAL]
DATE=March 18, 2015 at 10:28:30
CYME_VERSION=5.04
CYMDIST_REVISION=02

[SI]

[CONCENTRIC NEUTRAL CABLE]
FORMAT_CONCENTRICNEUTRALCABLE=ID,R1,R0,X1,X0,B1,B0,Amps,Amps_1,Amps_2,Amps_3,Amps_4,WithstandRating,NumberOfPhases,FailRate,TmpFailRate,MajorRepairTime,MinorRepairTime,MajorFailureProportion,PhaseCondID,NeutralCondID,NeutralWires,InsulationType,InsulationDielectricConst,InsulationDiameter,Dab,Dbc,Dac,RatedLevel,ContinuousTemperatureRating,SCCurrentTemperatureRating,PositiveSequenceShuntConductance,ZeroSequenceShuntConductance,LockImpedance,Comments
PEC_750_AL_TRXLPE_D_B,0.076603,0.189614,0.075792,0.049267,6.671660,0.000000,530.000000,530.000000,530.000000,530.000000,530.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC_750_AL_TRXLPE_I_C,0.076603,0.189614,0.075792,0.049267,6.671660,0.000000,530.000000,530.000000,530.000000,530.000000,530.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC1_#1/0_AWG_AL_EPR_CN_D_B,0.596516,1.783330,0.105633,0.944484,60.826000,0.000000,135.000000,135.000000,135.000000,135.000000,135.000000,135.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC1_#1/0_AWG_AL_XLPE_JACKET_CN_,0.596516,1.783335,0.105633,0.944484,60.826007,0.000000,135.000000,135.000000,135.000000,135.000000,135.000000,135.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC1_#1/0_AWG_AL_XLPE_NON-JACKET,0.596516,1.783335,0.105633,0.944484,60.826007,0.000000,135.000000,135.000000,135.000000,135.000000,135.000000,135.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC1_#1_AL_TRXLPE_CIC,0.571661,0.192625,0.975553,0.236121,27.545401,0.000000,162.000000,162.000000,162.000000,162.000000,162.000000,162.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC1_#1_AL_TRXLPE_D_B,0.571661,0.192625,0.975553,0.236121,27.545378,0.000000,162.000000,162.000000,162.000000,162.000000,162.000000,162.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC1_#1_AL_TRXLPE_D_B_W_S,0.571661,0.192625,0.975553,0.236121,27.545378,0.000000,162.000000,162.000000,162.000000,162.000000,162.000000,162.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC1_#1_AL_TRXLPE_I_C,0.571661,0.192625,0.975552,0.236121,27.545376,0.000000,162.000000,162.000000,162.000000,162.000000,162.000000,162.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC1_#2_AL_TRXLPE_CIC,0.956911,2.205867,0.118060,1.491290,47.304973,0.000000,105.000000,105.000000,105.000000,105.000000,105.000000,105.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
